capture_label,session_id,locklet_id,source_name,frame_count,supported_training_point_count,identical_mask_state_count,wall_clock_s,supported_points_per_s,stride_targets,response_blind_eligible_targets,eligible_target_horizons,method_unavailable_target_horizons,response_blind_ineligible_targets,paired_target_horizons
D1,cap-20260825T142817-9949c81ca994,D1,recent_frame_inventory,1499,1282,940,2.02683274599,632.51395683,100,99,297,151,1,146
D2,cap-20260825T145100-cc48b00cfa28,D2,recent_frame_inventory,1499,1474,1080,1.39812205901,1054.2713281,100,98,294,154,2,140
D3,cap-20260825T150802-473cb5bbcbd6,D3,recent_frame_inventory,1499,1499,1142,2.31288081803,648.109486798,100,100,300,154,,146
H1,cap-20260825T144823-4a812245fce1,H1-T000,opened_holdout_tile_inventory,1410,26,0,0.00114285195014,22750.1033681,94,,,,94,
H1,cap-20260825T144823-4a812245fce1,H1-T002,opened_holdout_tile_inventory,1410,40,0,0.00578567100456,6913.63196567,94,3,9,9,91,
H1,cap-20260825T144823-4a812245fce1,H1-T003,opened_holdout_tile_inventory,1410,28,0,0.000157130998559,178195.265458,94,3,9,9,91,
H1,cap-20260825T144823-4a812245fce1,H1-T004,opened_holdout_tile_inventory,1410,61,0,0.00756361201638,8064.92980706,94,5,15,15,89,
H1,cap-20260825T144823-4a812245fce1,H1-T005,opened_holdout_tile_inventory,1410,33,0,0.00126104499213,26168.7728874,94,3,9,9,91,
H1,cap-20260825T144823-4a812245fce1,H1-T006,opened_holdout_tile_inventory,1409,99,0,0.0246769300429,4011.84425404,94,8,24,24,86,
H1,cap-20260825T144823-4a812245fce1,H1-T007,opened_holdout_tile_inventory,1410,44,0,0.00294436601689,14943.7942659,94,2,6,6,92,
H2,cap-20260825T130425-1678069fefd1,H2-T000,opened_holdout_tile_inventory,1446,742,415,0.972012040962,763.365029167,97,51,153,122,46,31
H2,cap-20260825T130425-1678069fefd1,H2-T001,opened_holdout_tile_inventory,1445,817,514,1.094887365,746.195477373,97,54,162,117,43,45
H2,cap-20260825T130425-1678069fefd1,H2-T002,opened_holdout_tile_inventory,1446,961,683,1.371067125,700.913895809,97,63,189,123,34,66
H2,cap-20260825T130425-1678069fefd1,H2-T003,opened_holdout_tile_inventory,1445,1190,912,1.74990971101,680.035085531,97,79,237,121,18,116
H2,cap-20260825T130425-1678069fefd1,H2-T005,opened_holdout_tile_inventory,1446,1442,1084,1.685321289,855.62320337,97,97,291,154,,137
H2,cap-20260825T130425-1678069fefd1,H2-T006,opened_holdout_tile_inventory,1445,1445,1088,1.68317733298,858.49540134,97,97,291,154,,137
H3,cap-20260825T115127-b61fef4673a4,H3-T001,opened_holdout_tile_inventory,1386,523,196,0.583405777987,896.460096444,93,35,105,96,58,9
H3,cap-20260825T115127-b61fef4673a4,H3-T002,opened_holdout_tile_inventory,1387,554,245,0.59938836901,924.275525925,93,37,111,101,56,10
H3,cap-20260825T115127-b61fef4673a4,H3-T003,opened_holdout_tile_inventory,1386,591,292,0.704088105005,839.383588217,93,40,120,103,53,17
H3,cap-20260825T115127-b61fef4673a4,H3-T004,opened_holdout_tile_inventory,1387,638,296,0.811946938979,785.765632423,93,43,129,113,50,16
H3,cap-20260825T115127-b61fef4673a4,H3-T005,opened_holdout_tile_inventory,1386,703,393,0.884638648015,794.674754011,93,48,144,115,45,29
