method_id,approach,historical_reports,scope,outcome,observable,metric,units,validation,coverage,evidence
01-integrated-cfo-boundary-bridging,Integrated CFO boundary bridging,tools/report_within_segment_frame_phase.py; reports/2026_08_22_within_segment_frame_phase.md; reports/2026_09_23_longarc_phase_transport.md,552 candidate adjacent boundaries; 99 CFO-compatible; 71 evaluation,Some adjacent-boundary continuity; no unique cross-retune phase bridge.,RX differential 2π,0.6237401981245662,R,left-only boundary prediction,71/552 evaluation-compatible edges,cross-dwell/REPORT.md
02-frame-local-qin-phase,Frame-local Qin phase,tools/report_frame_local_phase_qualification.py; reports/2026_08_22_frame_local_phase_qualification.md,128 visits; 124/256 receiver arcs acquired; 86/192 evaluation arcs,Strong local fold agreement; it does not establish continuity between frames.,within-frame modulo π,8.464996298051407,degrees RMS,even/odd-symbol agreement,86/192 evaluation receiver arcs,frame-methods/REPORT.md
03-adjacent-frame-correlation,Adjacent-frame correlation,tools/report_within_segment_frame_phase.py; reports/2026_08_22_within_segment_frame_phase.md; reports/2026_09_23_long_dwell_phase_change.md,128 visits; 124/256 receiver arcs acquired; 86/192 evaluation arcs,Adjacent constant-increment prediction is substantially worse than within-frame agreement.,adjacent-frame modulo π,26.738918597938657,degrees RMS,sequential frame diagnostic,,frame-methods/REPORT.md
04-prompt-phase-linear-doppler,Prompt phase versus integrated linear Doppler,tools/report_pnt_phase_doppler_comparison.py; reports/2026_08_22_pnt_phase_doppler_comparison.md,8 frozen development visits / 16 receiver cases; 9 acquired,Actual integrated linear CFO: 126/632 exact phase transitions accepted versus 124/632 rolled-control; no useful exact continuity advantage.,prompt 2π,106.23599999999999,degrees RMS,development diagnostic; exact .2951 vs control .2919 cycles,,frame-methods/actual-05-14-smoke.json
05-five-state-phase-feedback,Five-state phase feedback,tools/report_pnt_kalman_comparison.py; tools/report_pilot_pnt_kalman.py; reports/2026_08_22_pnt_kalman_comparison.md,8 frozen development visits / 16 receiver cases; 9 acquired,Actual phase-feedback on/off replay changes final rate by median 102.48 Hz/s; computational completion is not a phase lock or truth-frequency improvement.,frequency-state feedback,102.48,Hz/s difference,development-only matched observations,,frame-methods/actual-05-14-smoke.json
06-ordinary-2pi-long-tracking,Ordinary 2pi long tracking,reports/2026_08_22_kalman_phase_tracking_comparison.md; reports/2026_09_21_long_track_phase_connection_audit.md; reports/2026_09_23_longarc_phase.md,128 visits; 124/256 receiver arcs acquired; 86/192 evaluation arcs,"Actual full-span ordinary tracker: 2284 resets; 122 numerical completions, 2 no-results. No continuous long-track phase established.",ordinary 2π,2284,resets,actual full-cohort kernel,,frame-methods/fullspan/fullspan-trackers.json
07-full-qin-phase-slope,Full Qin phase slope,tools/report_subsecond_pilot_structure.py; reports/2026_08_22_edge_pilot_phase_slope.md; reports/2026_08_22_subsecond_pilot_structure.md,"10,301 frames on 124 acquired receiver arcs",Full 300-symbol/eight-tone Qin supports local frequency measurement; absolute CFO truth and emitter identity remain unavailable.,frame-local frequency,96.74788855450927,% exact margin positive,rolled control; descriptive all-frame count,,frame-methods/REPORT.md
08-offline-binary-pi-batch,Offline binary-pi batch fit,tools/report_five_dwell_modulo_pi_qualification.py; reports/2026_08_23_five_dwell_modulo_pi_qualification.md; reports/2026_09_22_postfix_phase_methods.md,8 development visits: 8 complete / 8 insufficient receiver cases,Historical channel/delay separation and binary-π batch core ran; median fitted residual about .777 rad is weak and uses future data.,batch modulo π,44.51882068166497,degrees RMS,in-sample noncausal; not held prediction,,frame-methods/actual-08-smoke.json
09-causal-modulo-pi-filter,Causal modulo-pi filter,tools/report_five_dwell_modulo_pi_qualification.py; reports/2026_08_23_five_dwell_modulo_pi_qualification.md; reports/2026_09_24_consolidated_phase_methods.md,128 visits; 124/256 receiver arcs acquired; 86/192 evaluation arcs,Modulo-π tracker reduces resets to 668; the shorter wrap interval is not proof of unambiguous 2π phase.,causal modulo π,668,resets,actual symmetry-order ablation,,frame-methods/fullspan/fullspan-trackers.json
10-five-state-modulo-pi-pnt,Five-state modulo-pi PNT,tools/report_pilot_pnt_kalman.py; reports/2026_08_22_pilot_pnt_kalman.md; reports/2026_09_22_postfix_phase_methods.md,128 visits; 124/256 receiver arcs acquired; 86/192 evaluation arcs,PNT V1 and V2 each produce zero inner phase locks; 122 numerical completions and 2 no-results per kernel.,five-state modulo π,0,qualified locks,published inner gates retained,,frame-methods/fullspan/fullspan-trackers.json
11-production-multi-window,Production multi-window qualification,tools/replay_150802_pnt_kalman_v4_canary.py,116 acquired arcs with ≥75 ms raw support,Zero inner phase locks; a pipeline requiring that gate cannot pass. No outer-gate success is imputed; shorter arcs are duration-ineligible.,production qualification,0,qualified locks,"necessary-gate rejection, not a fabricated outer score",,frame-methods/fullspan/fullspan-trackers.json
