method,method_id,qualification,coverage,train_error_km,validation_error_km,test_error_km,full_block_error_km,sub_km_validation,source,interpretation
Ordinary Doppler baseline,baseline,primary_ds1,38 completed case/prior fits; 4 explicit TEST64 failures,9.137761004680023,5.981997106416115,9.419139046135346,5.534452578654884,False,reports/2026_09_24_ds1/evaluation.json,Current blind DS1 comparison with TRAIN-only candidate selection.
Shared global receive-time shift,shared_time,primary_ds1,38 completed case/prior fits; 4 explicit TEST64 failures,4.0748013412358866,3.9717843324232924,8.265463666989852,3.3644663329824196,False,reports/2026_09_24_ds1/evaluation.json,Current blind DS1 comparison with TRAIN-only candidate selection.
Fixed-ID shared timing (scale 5 s),fixed_identity_shared_global_tau,conditional_fixed_identity,"2 full TRAIN and 2 full validation blocks, both priors",1.6291592137628963,2.5691412700076244,,1.8259064776943228,False,reports/2026_09_24_ds1_timing_ablations/timing_rows.json,Exact historical local-search arm; identities are frozen from tau-zero fits.
Fixed-ID regularized per-scan epoch (scale 5 s),regularized_global_plus_scan_epoch,conditional_fixed_identity,"2 full TRAIN and 2 full validation blocks, both priors",1.336611485029498,2.4714622788345983,,1.8893025100831913,False,reports/2026_09_24_ds1_timing_ablations/timing_rows.json,Exact historical local-search arm; identities are frozen from tau-zero fits.
Independent fractional per-track timing,fractional_per_track_tau,diagnostic_fixed_points,"Four 16-scan non-TEST groups, both priors; inherited terminal points",5.197356767030163,8.620607863928674,,,False,reports/2026_09_24_ds1_timing_ablations/fractional_per_track_evaluation.json,Diagnostic only: no geographic re-search and 3-10% of track shifts hit +/-5 s.
Causal per-NORAD phase rate (exact SGP4),causal_per_norad_phase_rate,bounded_feasibility,"Two singleton cases, both priors; deterministic top-1/top-4 pair subsets",40.203211045495365,1.1864434248439668,,,False,reports/2026_09_24_ds1_orbit_arm/summary.json,"Converged and exact-gated, but it did not move the selected geographic point."
"Formal causal orbit model, fixed-ID transfer control",formal_orbit_fixed_id_first6,negative_transfer_control,First six scans of both TRAIN groups,8.395,,,,False,reports/2026_09_23_train_orbit_uncertainty_design/FINDINGS.md,Errors were 12.025/12.029 km on one group and 4.764 km on the other.
Configured-site orbit calibration,configured_site_orbit_calibration,disqualified_truth_leakage,Not run as a DS1 accuracy arm,,,,,False,reports/2026_09_24_ds1_subkm_ablations/technique_matrix.json,Historical 292 m used configured-site calibration; corrected error is 1.579 km.
16-scan exposed candidate/seed search,sixteen_scan_joint_conditional,disqualified_evaluation_exposure,Not imported into DS1,,,,,False,reports/2026_09_24_ds1_subkm_ablations/technique_matrix.json,Historical 314 m depended on evaluation-exposed candidates and seeds.
Dual-LNB GLRT-margin beam proxy,dual_lnb_beam_proxy,disqualified_shuffled_control,Not imported into DS1,,,,,False,reports/2026_09_24_ds1_subkm_ablations/technique_matrix.json,Historical 347.7 m was beaten by shuffled controls.
Native RX1 receiver reference,native_rx1_receiver_reference,disqualified_numerical_uncertainty,Not imported into DS1,,,,,False,reports/2026_09_24_ds1_subkm_ablations/technique_matrix.json,Historical 897.9 m failed numerical and uncertainty checks.
