capture_session_id,status,path_id,physical_radio_id,shared_rate_hz_s,shared_rate_sigma_hz_s,radio_rate_hz_s,radio_rate_sigma_hz_s,path_rate_hz_s,path_rate_sigma_hz_s,radio_minus_shared_rate_hz_s,path_minus_shared_rate_hz_s,radio_pairwise_disagreement_hz_s,path_max_pairwise_disagreement_hz_s,shared_heldout_rms_hz,radio_heldout_rms_hz,path_heldout_rms_hz,causal_500ms_heldout_rms_hz
cap-20260825T065355-ba3e4fb8857b,evaluable,stream-0/radio_pluto_5d4d/RX0,radio_pluto_5d4d,-3362.5118441639643,9.767289433261675,-3353.8005903337325,4.297661461000462,-3349.7816106567734,6.363451495039161,8.711253830231726,12.73023350719086,22.24547786192852,62.20209796943482,41.18745128642399,42.31673800338347,47.364573418462534,46.17019833359356
cap-20260825T065355-ba3e4fb8857b,evaluable,stream-0/radio_pluto_5d4d/RX1,radio_pluto_5d4d,-3362.5118441639643,9.767289433261675,-3353.8005903337325,4.297661461000462,-3357.8666674419183,4.17589320906789,8.711253830231726,4.645176722046017,22.24547786192852,62.20209796943482,41.18745128642399,42.31673800338347,47.364573418462534,46.17019833359356
cap-20260825T065355-ba3e4fb8857b,evaluable,stream-1/radio_pluto_19f2/RX0,radio_pluto_19f2,-3362.5118441639643,9.767289433261675,-3376.046068195661,23.946036682419326,-3342.3537959981904,11.495278038682468,-13.534224031696795,20.158048165773835,22.24547786192852,62.20209796943482,41.18745128642399,42.31673800338347,47.364573418462534,46.17019833359356
cap-20260825T065355-ba3e4fb8857b,evaluable,stream-1/radio_pluto_19f2/RX1,radio_pluto_19f2,-3362.5118441639643,9.767289433261675,-3376.046068195661,23.946036682419326,-3404.5558939676253,47.62095879585115,-13.534224031696795,-42.04404980366098,22.24547786192852,62.20209796943482,41.18745128642399,42.31673800338347,47.364573418462534,46.17019833359356
cap-20260825T103607-9bd90a1a50e4,evaluable,stream-0/radio_pluto_5d4d/RX0,radio_pluto_5d4d,-3447.431601394521,6.0592770718014695,-3437.7534219225636,4.894111883577594,-3436.1876097815016,6.722828788963233,9.678179471957264,11.243991613019261,32.9956331163894,34.561445257451396,48.90935125112813,46.57813112176804,46.55428927580991,47.689226465897036
cap-20260825T103607-9bd90a1a50e4,evaluable,stream-0/radio_pluto_5d4d/RX1,radio_pluto_5d4d,-3447.431601394521,6.0592770718014695,-3437.7534219225636,4.894111883577594,-3439.768754221724,6.763957538935467,9.678179471957264,7.6628471727967735,32.9956331163894,34.561445257451396,48.90935125112813,46.57813112176804,46.55428927580991,47.689226465897036
cap-20260825T103607-9bd90a1a50e4,evaluable,stream-1/radio_pluto_19f2/RX1,radio_pluto_19f2,-3447.431601394521,6.0592770718014695,-3470.749055038953,25.747261057512343,-3470.749055038953,24.54086235359559,-23.317453644432135,-23.317453644432135,32.9956331163894,34.561445257451396,48.90935125112813,46.57813112176804,46.55428927580991,47.689226465897036
cap-20260825T130425-1678069fefd1,evaluable,stream-0/radio_pluto_5d4d/RX0,radio_pluto_5d4d,-3778.7694697091647,13.17990555448293,-3744.5170533036,9.106443322655556,-3764.8711900337616,13.327441431139064,34.25241640556487,13.898279675403046,65.31148529863276,116.37595916743612,98.49833417259318,99.72208774199801,102.75271204495702,100.44652111591527
cap-20260825T130425-1678069fefd1,evaluable,stream-0/radio_pluto_5d4d/RX1,radio_pluto_5d4d,-3778.7694697091647,13.17990555448293,-3744.5170533036,9.106443322655556,-3734.203548587976,8.761989446105595,34.25241640556487,44.565921121188694,65.31148529863276,116.37595916743612,98.49833417259318,99.72208774199801,102.75271204495702,100.44652111591527
cap-20260825T130425-1678069fefd1,evaluable,stream-1/radio_pluto_19f2/RX0,radio_pluto_19f2,-3778.7694697091647,13.17990555448293,-3809.8285386022326,27.74941037279701,-3768.7109253337294,9.976102069229082,-31.059068893067888,10.058544375435304,65.31148529863276,116.37595916743612,98.49833417259318,99.72208774199801,102.75271204495702,100.44652111591527
cap-20260825T130425-1678069fefd1,evaluable,stream-1/radio_pluto_19f2/RX1,radio_pluto_19f2,-3778.7694697091647,13.17990555448293,-3809.8285386022326,27.74941037279701,-3850.579507755412,52.32003656497706,-31.059068893067888,-71.81003804624743,65.31148529863276,116.37595916743612,98.49833417259318,99.72208774199801,102.75271204495702,100.44652111591527
cap-20260825T150802-473cb5bbcbd6,evaluable,stream-0/radio_pluto_5d4d/RX0,radio_pluto_5d4d,-3256.9482556039,7.639420674598813,-3249.901577123266,5.622578253072777,-3250.1389641095943,5.1683579322752,7.046678480634,6.809291494305853,40.79269964298919,41.242645559796074,75.63194186483678,71.89880503907098,71.89804222484071,72.5186276481749
cap-20260825T150802-473cb5bbcbd6,evaluable,stream-0/radio_pluto_5d4d/RX1,radio_pluto_5d4d,-3256.9482556039,7.639420674598813,-3249.901577123266,5.622578253072777,-3249.4516312064593,8.24617635804357,7.046678480634,7.496624397440883,40.79269964298919,41.242645559796074,75.63194186483678,71.89880503907098,71.89804222484071,72.5186276481749
cap-20260825T150802-473cb5bbcbd6,evaluable,stream-1/radio_pluto_19f2/RX1,radio_pluto_19f2,-3256.9482556039,7.639420674598813,-3290.6942767662554,31.430122532713924,-3290.6942767662554,29.944424092909564,-33.74602116235519,-33.74602116235519,40.79269964298919,41.242645559796074,75.63194186483678,71.89880503907098,71.89804222484071,72.5186276481749
